"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
2,45,4.6912,-4.8106,4.6912,-4.8106,528,395,0,-8.5,8.4853,-0.014719,1,0,14101,1,1,0,1,"ab_1905","align_explicit_train_selected",8.485281,44.9999358525315,3.6894,38.1833239929514,6.81667600704864,FALSE,"ab_1905"
3,135,-2.7971,-5.5353,-2.7971,-5.5353,528,395,0,-8.5,-8.4853,-0.014719,1,0,2020,1,1,0,1,"ab_1905","align_explicit_train_selected",8.485281,135.000064147469,2.9647,133.333842608848,1.66615739115159,FALSE,"ab_1905"
4,45,3.0405,-4.5603,3.0405,-4.5603,528,395,0,-8.5,8.4853,-0.014719,1,0,1920,1,1,0,1,"ab_1905","align_explicit_train_selected",8.485281,44.9999358525315,3.9397,52.3405025898312,-7.34050258983115,FALSE,"ab_1905"
5,135,-3.1148,-5.3676,-3.1148,-5.3676,528,395,0,-8.5,-8.4853,-0.014719,1,0,1100,1,1,0,1,"ab_1905","align_explicit_train_selected",8.485281,135.000064147469,3.1324,134.838583197024,0.161416802975566,FALSE,"ab_1905"
7,135,-4.114,-5.9232,-4.114,-5.9232,528,395,0,-8.5,-8.4853,-0.014719,1,0,680,1,1,0,1,"ab_1905","align_explicit_train_selected",8.485281,135.000064147469,2.5768,147.939067577721,-12.9390675777206,FALSE,"ab_1905"
8,45,2.4467,-5.0584,2.4467,-5.0584,528,395,0,-8.5,8.4853,-0.014719,1,0,820,1,1,0,1,"ab_1905","align_explicit_train_selected",8.485281,44.9999358525315,3.4416,54.590242879023,-9.59024287902297,FALSE,"ab_1905"
9,90,-0.2742,-3.7054,-0.2742,-3.7054,528,395,0,-8.5,0,3.5,1,0,681,1,1,0,1,"ab_1905","align_explicit_train_selected",12,90,4.7946,93.2731424056769,-3.27314240567686,FALSE,"ab_1905"
10,90,-0.0254,-3.5752,-0.0254,-3.5752,528,395,0,-8.5,0,3.5,1,0,720,1,1,0,1,"ab_1905","align_explicit_train_selected",12,90,4.9248,90.2955043648086,-0.295504364808565,FALSE,"ab_1905"
11,45,3.9109,-3.4869,3.9109,-3.4869,528,395,0,-8.5,8.4853,-0.014719,1,0,760,1,1,0,1,"ab_1905","align_explicit_train_selected",8.485281,44.9999358525315,5.0131,52.0409231861003,-7.04092318610033,FALSE,"ab_1905"
12,135,-2.7402,-5.5347,-2.7402,-5.5347,528,395,0,-8.5,-8.4853,-0.014719,1,0,500,1,1,0,1,"ab_1905","align_explicit_train_selected",8.485281,135.000064147469,2.9653,132.740672254883,2.25932774511662,FALSE,"ab_1905"
13,90,-0.98,-3.5624,-0.98,-3.5624,528,395,0,-8.5,0,3.5,1,0,600,1,1,0,1,"ab_1905","align_explicit_train_selected",12,90,4.9376,101.226002297584,-11.2260022975838,FALSE,"ab_1905"
14,45,4.8096,-3.0348,4.8096,-3.0348,528,395,0,-8.5,8.4853,-0.014719,1,0,901,1,1,0,1,"ab_1905","align_explicit_train_selected",8.485281,44.9999358525315,5.4652,48.6508993403744,-3.65089934037444,FALSE,"ab_1905"
15,135,-2.9721,-5.9413,-2.9721,-5.9413,528,395,0,-8.5,-8.4853,-0.014719,1,0,420,1,1,0,1,"ab_1905","align_explicit_train_selected",8.485281,135.000064147469,2.5587,139.274627999833,-4.27462799983272,FALSE,"ab_1905"
17,135,-2.872,-6.2916,-2.872,-6.2916,528,395,0,-8.5,-8.4853,-0.014719,1,0,460,1,1,0,1,"ab_1905","align_explicit_train_selected",8.485281,135.000064147469,2.2084,142.441821879148,-7.44182187914839,FALSE,"ab_1905"
